"Behinds","Bounces","Clangers","Clearances","Contested.Marks","Contested.Possessions","Disposals","Frees","Frees.Against","Goal.Assists","Goals","Handballs","Hit.Outs","Inside.50s","Kicks","Marks","Marks.Inside.50","One.Percenters","Rebounds","Tackles","Uncontested.Possessions","X..Played","Brownlow.Votes"
-0.941891891891892,-1,-0.494117647058824,-0.127536231884058,-1,20.5,21.6727272727273,-1,-0.271186440677966,-1,-1,6.01086956521739,-1,5.14285714285714,1.20512820512821,-0.907922912205567,0.72,0.387096774193548,-1,8.92307692307692,34.1818181818182,0.84,2
-0.883783783783784,-1,-0.739393939393939,-0.628242074927954,0.303030303030303,19.4761904761905,22.0925925925926,-1,-0.232142857142857,-0.14,-0.348484848484849,5.01075268817204,0.131578947368421,8.82857142857143,1.51094890510949,-0.447537473233405,-1,-1,0.402173913043478,0.653846153846154,37.7,0.9,0
-1,-1,-1,-0.876436781609195,-1,13.9565217391304,13.0727272727273,-0.542553191489362,-1,-1,0.264705882352941,4.48936170212766,-1,-1,-0.0652173913043478,-0.818947368421053,-1,1.6875,-1,0.653846153846154,18.5454545454545,0.78,0
-0.942895086321381,-0.678304239401496,-0.488095238095238,-0.877840909090909,0.303030303030303,4.86363636363636,11.5090909090909,-1,-0.232142857142857,-1,-0.367647058823529,2.73913043478261,-1,1.45714285714286,0.224199288256228,-0.726114649681529,-1,1.6875,0.433333333333333,-1,26.3636363636364,0.68,0
-1,-1,-0.745562130177515,-1,1.52941176470588,8.34782608695652,6.81818181818182,-1,-1,-1,-1,2.23655913978495,-1,0.194444444444444,-0.537634408602151,-0.820833333333333,-1,5.71875,-0.505747126436782,0.653846153846154,8.77272727272727,0.87,0
-1,-1,-0.734567901234568,-0.629310344827586,-1,10.2173913043478,19.7037037037037,-1,-0.258620689655172,-0.156862745098039,-1,4.54838709677419,0.131578947368421,6.37142857142857,1.16546762589928,-0.165948275862069,-1,3.03125,-0.51685393258427,2.30769230769231,44.15,0.85,0
-1,-0.892768079800499,-0.74251497005988,-0.878186968838527,-1,4.60869565217391,10.7272727272727,-0.075268817204301,-1,-1,-1,2.23655913978495,-1,0.194444444444444,0.224199288256228,-0.637130801687764,-1,0.34375,0.89010989010989,2.44,20.5,0.75,0
-1,-1,-0.481927710843373,-1,-1,6.47826086956522,7.6,-1,0.482758620689655,-0.598130841121495,-1,1.80434782608696,-1,0.264705882352941,-0.232142857142857,-0.550209205020921,-1,3.03125,-0.51685393258427,0.653846153846154,13.3333333333333,0.86,0
-1,-1,-1,-1,-1,-1,2.12727272727273,-1,-1,-0.594339622641509,-1,-0.542553191489362,-1,1.38888888888889,-0.545774647887324,-0.910602910602911,-1,0.34375,-1,2.30769230769231,7.19047619047619,0.23,0
-0.884253028263795,-1,0.257309941520468,-0.378612716763006,-1,29.7142857142857,19.7037037037037,-1,-1,-1,-0.328125,5.76404494382022,0.131578947368421,2.58333333333333,0.9182156133829,-1,-1,1.6875,-0.522222222222222,-1,24.4090909090909,0.87,0
-1,-0.891959798994975,-0.74251497005988,-0.877492877492878,-1,6.47826086956522,14.6363636363636,-1,-1,-1,-1,3.16129032258065,-1,-1,0.689285714285714,-0.633262260127932,-1,0.34375,0.417582417582417,-1,30.2727272727273,0.94,0
-0.942743009320905,-0.571072319201995,-0.236686390532544,-1,-1,20.5,13.0727272727273,0.417582417582417,0.457627118644068,-0.180952380952381,0.246376811594203,3.72527472527472,-1,2.79411764705882,0.26007326007326,-0.820083682008368,2.44,0.433333333333333,-1,6.81818181818182,14.05,0.92,0
-1,-1,-0.739393939393939,-0.879213483146067,1.52941176470588,12.0869565217391,13.8545454545455,-0.075268817204301,-1,-1,-1,0.849462365591398,-1,-1,1.32851985559567,-0.455696202531646,-1,3.03125,1.41573033707865,2.30769230769231,20.5,0.84,0
-1,-1,0.824242424242424,-1,-1,8.34782608695652,13.0727272727273,-0.542553191489362,2.83928571428571,-1,-1,3.44827586206897,-1,1.7741935483871,0.387096774193548,-0.453389830508475,-1,12.4375,0.573170731707317,0.653846153846154,24.4090909090909,0.93,0
-0.827770360480641,-0.781725888324873,-1,-1,5.61538461538462,22.65,14.6363636363636,-0.0652173913043478,-1,-0.594339622641509,3.98550724637681,1.28723404255319,-1,1.38888888888889,1.36263736263736,-0.185263157894737,15.3809523809524,0.791666666666667,-1,4.375,19.4761904761905,0.96,3
-1,-1,-0.744047619047619,-0.626086956521739,0.303030303030303,13.9565217391304,17.7636363636364,-1,-1,-1,-0.348484848484849,5.93548387096774,-1,1.38888888888889,0.402173913043478,-0.725531914893617,-1,1.6875,-1,2.30769230769231,28.3181818181818,0.85,0
-1,-1,0.535714285714286,-1,-1,8.34782608695652,13.3333333333333,-0.547368421052632,-0.258620689655172,-1,-0.376811594202899,2.42045454545455,7.13513513513514,0.228571428571429,0.387096774193548,-0.727848101265823,0.72,4.54838709677419,-0.511363636363636,-1,20.5,0.88,0
-1,-1,-0.739393939393939,-0.147308781869688,0.34375,21.4347826086957,16.2,-0.075268817204301,-1,-1,0.387096774193548,2.23655913978495,-1,3.77777777777778,1.37132352941176,-0.456842105263158,2.58333333333333,0.433333333333333,-0.0549450549450551,2.30769230769231,18.5454545454545,0.74,0
-0.94281914893617,-1,0.813253012048193,-0.383954154727794,-1,16.5909090909091,13.3333333333333,0.449438202247191,1.96551724137931,-1,-1,4.4367816091954,3.91428571428571,1.6875,-0.0618181818181818,-0.549266247379455,-1,11.09375,-0.481927710843373,8.92307692307692,14.6363636363636,0.93,0
