"Behinds","Bounces","Clangers","Clearances","Contested.Marks","Contested.Possessions","Disposals","Frees","Frees.Against","Goal.Assists","Goals","Handballs","Hit.Outs","Inside.50s","Kicks","Marks","Marks.Inside.50","One.Percenters","Rebounds","Tackles","Uncontested.Possessions","X..Played","Brownlow.Votes","year"
-1,0.72,-0.0652173913043478,0.283582089552239,0.791666666666667,-0.229390681003584,0.266398929049531,-1,-1,-1,-1,0.228571428571428,-1,-0.188679245283019,0.299748110831234,0.295180722891566,-1,-0.527472527472528,1.30357142857143,0.89010989010989,0.466950959488273,0.89,0,2012
0.954545454545454,-1,-0.0652173913043478,3.85483870967742,-1,0.732600732600733,0.685135135135135,-1,0.228571428571429,-1,-1,0.869565217391304,-1,1.0873786407767,0.524050632911392,-0.747058823529412,0.387096774193548,-0.527472527472528,-1,1.89887640449438,0.657387580299786,0.84,2,2012
-1,-1,1.93181818181818,0.954545454545454,0.791666666666667,0.246376811594203,0.148197596795728,4.05882352941177,4.375,1.04761904761905,0.303030303030303,0.482758620689655,63.5,-0.188679245283019,-0.14214463840399,0.835365853658536,1.86666666666667,-0.0444444444444445,-0.258620689655172,0.89010989010989,0.0909090909090908,0.88,1,2012
5.45,2.58333333333333,-1,-1,7.19047619047619,0.732600732600733,0.148197596795728,1.38888888888889,-1,1.04761904761905,12.2307692307692,-0.394366197183099,-1,-0.188679245283019,0.637055837563452,1.38888888888889,13.3333333333333,-0.527472527472528,-1,0.402173913043478,-0.0947368421052631,0.96,3,2012
5.61538461538462,-1,0.303030303030303,3.22950819672131,-1,1.16666666666667,1.13003095975232,5.84090909090909,0.755102040816326,-1,-1,1.22709163346614,1.52941176470588,2.90909090909091,1.06835443037975,0.551546391752577,0.653846153846154,-0.5,-1,-0.699300699300699,1.18274111675127,0.92,1,2012
2.07142857142857,-1,-1,1.015625,0.72,0.477099236641221,0.714723926380368,-0.14,-1,1.6875,2.30769230769231,1.04761904761905,-1,0.0487804878048781,0.505,0.782383419689119,2.44,-0.5,1.58,1.52941176470588,0.954545454545454,0.83,0,2012
-1,-1,0.303030303030303,3.22950819672131,0.72,0.647509578544061,1.13003095975232,-1,-0.14,1.6875,-1,0.869565217391304,-1,1.15,1.29770992366412,0.551546391752577,-1,-1,2.51020408163265,1.1970802919708,1.18274111675127,0.83,2,2012
9.75,-1,-0.574257425742574,-0.348484848484849,6.81818181818182,0.140151515151515,0.10590015128593,-0.14,-0.14,-1,10.7272727272727,-0.338461538461538,-1,-1,0.394014962593516,1.25130890052356,17.1052631578947,-1,-1,-0.0851063829787234,-0.152709359605911,0.94,3,2012
-1,7.6,-0.426666666666667,1.17721518987342,0.482758620689655,1.20890410958904,0.896062992125984,1.7741935483871,-1,2.58333333333333,-1,1.90540540540541,-1,0.25242718446602,0.353510895883777,0.319018404907975,-1,0.517647058823529,-0.283333333333333,-1,0.688821752265861,0.8,0,2012
13.3333333333333,-1,1.38888888888889,-1,5.61538461538462,0.298657718120805,0.5453125,3.3,1.7741935483871,0.72,23.304347826087,-0.817796610169492,-1,0.686274509803921,1.34158415841584,2.01273885350318,26.6428571428571,0,-1,0.954545454545454,0.824242424242424,0.93,3,2012
-1,-1,0.162162162162162,1.17721518987342,3.77777777777778,0.00333333333333341,-0.14,0.34375,0.34375,0.72,0.228571428571429,0.308695652173913,29.1754385964912,-0.173076923076923,-0.385714285714286,0.869565217391304,-1,0,-0.283333333333333,0.283582089552239,-0.236686390532544,0.81,1,2012
-1,-1,1.38888888888889,3.58666666666667,-1,1.36426116838488,1.39649681528662,1.7741935483871,3.3,2.58333333333333,-1,2.1131221719457,-1,2.51020408163265,1.00737100737101,0.869565217391304,-1,-0.505747126436782,-0.283333333333333,0.283582089552239,1.37423312883436,0.92,2,2012
-1,3.3,-1,-1,-1,-0.548951048951049,-0.144886363636364,-1,-1,0.869565217391304,2.18518518518519,0.0487804878048781,-1,-0.075268817204301,-0.278177458033573,-0.55440414507772,1.26315789473684,-1,-0.245614035087719,-0.632478632478632,0.105140186915888,0.81,0,2012
-1,-1,0.417582417582417,4.22972972972973,-1,2.36940298507463,1.00583090379009,0.303030303030303,0.303030303030303,0.869565217391304,0.535714285714286,0.829787234042553,-1,0.89010989010989,1.12871287128713,0.365079365079365,1.26315789473684,2.20212765957447,0.535714285714286,-0.632478632478632,0.312206572769953,0.89,2,2012
-1,3.3,0.417582417582417,4.22972972972973,-1,1.6875,1.07153284671533,4.73333333333333,-1,-1,3.96153846153846,1.15,-1,1.38888888888889,1.01728395061728,0.131578947368421,-1,0.316326530612245,1.34545454545455,1.71171171171171,0.838479809976247,0.86,3,2012
2.30769230769231,-1,0.417582417582417,-1,6.81818181818182,0.541218637992832,-0.144886363636364,-1,1.6875,0.869565217391304,5.88,-0.256055363321799,-1,0.402173913043478,-0.0674698795180723,0.365079365079365,6.58823529411765,0.77319587628866,-1,-0.258620689655172,-0.303240740740741,0.93,1,2012
-1,-1,-0.14,-0.0444444444444445,-1,-0.297385620915033,-0.0752688172043011,-1,-1,-1,-1,-0.14,-1,-0.574257425742574,-0.0349127182044888,0.237410071942446,-1,-1,-1,0.0886075949367089,0.0424242424242425,0.86,0,2012
2.07142857142857,-1,1.21649484536082,3.0952380952381,-1,1.02693602693603,1.10252365930599,-1,-1,-1,3.77777777777778,0.036144578313253,-0.552083333333333,2.16842105263158,1.79220779220779,0.883211678832117,-1,-0.635593220338983,0.323076923076923,-0.188679245283019,0.72,0.8,2,2012
