"Name.Id","Brownlow.Votes"
"May, Steven, 2011771473",1
"Higgins, Jack, 2018729702",1
"Weightman, Cody, 2020874392",1
"Switkowski, Sam, 2018835969",1
"Hewett, George, 2016726232",1
"McLean, Hayden, 2019773410",1
"Warner, Chad, 2020878482",1
"Ah Chee, Brendon, 2015654090",1
"Barrass, Tom, 2015662872",1
"Redden, Jack, 2009825096",1
"Georgiades, Mitch, 2020717789",1
"Gray, Robbie, 2007719318",1
"Rozee, Connor, 2019822304",1
"Hooker, Cale, 2008723099",1
"Redman, Mason, 2016827438",1
"Waterman, Alec, 2021873920",1
"Simpkin, Jy, 2017831292",1
"Zurhaar, Cameron, 2017901846",1
"Dow, Paddy, 2018682738",1
"Salem, Christian, 2014831646",1
"OConnor, Mark, 2017798614",1
"Day, Will, 2020683796",1
"Butters, Zak, 2019663639",1
"Gresham, Jade, 2016716809",1
"Coleman-Jones, Callum, 2019679542",1
"Chol, Mabior, 2016676375",1
"Sharp, Jeremy, 2020833450",1
"Sharman, Cooper, 2021839564",1
"Adams, Marcus, 2016652575",0
"Ah Chee, Callum, 2016654616",0
"Andrews, Harris, 2015656514",0
"Berry, Tom, 2020669775",0
"Birchall, Grant, 2006668040",0
"Coleman, Keidean, 2020674302",0
"Madden, James, 2021778288",0
"Mathieson, Rhys, 2016773696",0
"Prior, Jaxon, 2021804686",0
"Robertson, Deven, 2020822855",0
"Starcevich, Brandon, 2018836883",0
"Aarts, Jake, 2020654979",0
"Balta, Noah, 2019663723",0
"Broad, Nathan, 2016661079",0
"Castagna, Jason, 2016673772",0
"Collier-Dawkins, Riley, 2021677886",0
"Lynch, Tom, 2011769877",0
"Martyn, Will, 2021778106",0
"McIntosh, Kamdyn, 2015771823",0
"Naish, Patrick, 2019784270",0
"Pickett, Marlion, 2019805439",0
"Ralphsmith, Hugo, 2021823893",0
"Rioli, Daniel, 2016827316",0
"Ross, Jack, 2019827224",0
"Short, Jayden, 2016835840",0
"Vlastuin, Nick, 2013864952",0
"Betts, Eddie, 2005667052",0
"Cottrell, Matthew, 2020672697",0
"De Koning, Tom, 2018682020",0
"Fogarty, Lachie, 2018707413",0
"Gibbons, Michael, 2019713093",0
"Honey, Josh, 2020723773",0
"Murphy, Marc, 2006779329",0
"Newman, Nic, 2017786748",0
"Owies, Matthew, 2020794973",0
"Pittonet, Marc, 2016801287",0
"Plowman, Lachie, 2013803908",0
"Saad, Adam, 2015839510",0
"Setterfield, Will, 2017832504",0
"Silvagni, Jack, 2016833015",0
"Stocker, Liam, 2019833354",0
"Williams, Zac, 2013879070",0
"Breust, Luke, 2011663064",0
"Cousins, James, 2017674525",0
"Frost, Sam, 2012702150",0
"Greaves, Damon, 2020715132",0
"Hanrahan, Oliver, 2019721542",0
"Hardwick, Blake, 2016727274",0
"Hartigan, Kyle, 2013724713",0
"Howe, Daniel, 2015729666",0
"Impey, Jarman, 2014738925",0
"Lewis, Mitch, 2018768364",0
"McEvoy, Ben, 2008773550",0
"Moore, Dylan, 2019777733",0
"Morris, Josh, 2020772347",0
"Morrison, Harry, 2017775642",0
"Phillips, Tom, 2016801382",0
"Reeves, Ned, 2021824066",0
"Worpel, James, 2018871911",0
"Atkins, Rory, 2015652891",0
"Burgess, Chris, 2019661033",0
"Flanders, Sam, 2020702940",0
"Graham, Caleb, 2019718127",0
"Greenwood, Hugh, 2017716174",0
"Holman, Nick, 2014721524",0
"Lemmens, Sean, 2014766983",0
"Markov, Oleg, 2016772457",0
"Powell, Wil, 2018804468",0
"Rankine, Izak, 2020825672",0
"Rosas, Malcolm, 2021829998",0
"Sexton, Alex, 2012836288",0
"Smith, Zac, 2011839963",0
"Swallow, David, 2011834993",0
"Weller, Lachie, 2015876388",0
"Atkins, Tom, 2019659412",0
"Bews, Jed, 2014668825",0
"Blicavs, Mark, 2013661585",0
"Close, Brad, 2020672557",0
"Dahlhaus, Luke, 2011684234",0
"Guthrie, Zach, 2017711451",0
"Kolodjashnij, Jake, 2015755425",0
"Ratugolea, Esava, 2018829920",0
"Berry, Sam, 2021661124",0
"Brown, Luke, 2012662083",0
"Butts, Jordon, 2020665315",0
"Doedee, Tom, 2018689604",0
"Fogarty, Darcy, 2018704381",0
"Jones, Chayce, 2019748529",0
"Kelly, Jake, 2015754078",0
"Mackay, David, 2008774238",0
"McAdam, Shane, 2020773834",0
"McHenry, Ned, 2020777569",0
"Murray, Nick, 2021778762",0
"OConnor, Ronin, 2021793759",0
"Rowe, James, 2021823478",0
"Schoenberg, Harry, 2020839071",0
"Thilthorpe, Riley, 2021845288",0
"Brayshaw, Angus, 2015665345",0
"Harmes, James, 2015722143",0
"Hibberd, Michael, 2011723717",0
"Hunt, Jayden, 2016725603",0
"Jetta, Neville, 2009746213",0
"Jordon, James, 2021745011",0
"Langdon, Ed, 2015765853",0
"Melksham, Jake, 2010772094",0
"Neal-Bullen, Alex, 2015783703",0
"Petty, Harry, 2018802450",0
"Rivers, Trent, 2020821360",0
"Spargo, Charlie, 2018831644",0
"Sparrow, Tom, 2019831764",0
"Weideman, Sam, 2016875200",0
"Battle, Josh, 2017662715",0
"Butler, Dan, 2017669102",0
"Byrnes, Ryan, 2020667484",0
"Bytel, Jack, 2020665793",0
"Clark, Hunter, 2018671740",0
"Frawley, James, 2007704941",0
"Geary, Jarryn, 2008717670",0
"Highmore, Tom, 2021726276",0
"Howard, Dougal, 2016728510",0
"Lonie, Jack, 2015767957",0
"McKernan, Shaun, 2009771825",0
"Ross, Sebastian, 2012821790",0
"Sinclair, Jack, 2015834201",0
"Webster, Jimmy, 2013872622",0
"Wilkie, Callum, 2019871580",0
"Cordy, Zaine, 2015679832",0
"Crozier, Hayden, 2012673943",0
"Duryea, Taylor, 2013682780",0
"Hannan, Mitch, 2017729930",0
"Hunter, Lachie, 2013723481",0
"Johannisen, Jason, 2012749203",0
"Keath, Alex, 2017759851",0
"McNeil, Lachlan, 2021773466",0
"Naughton, Aaron, 2018781136",0
"Scott, Anthony, 2021837430",0
"Smith, Roarke, 2015835077",0
"Sweet, Jordon, 2021833790",0
"Williams, Bailey, 2016873012",0
"Young, Lewis, 2017899644",0
"Acres, Blake, 2014651814",0
"Aish, James, 2014659159",0
"Blakely, Connor, 2015665690",0
"Colyer, Travis, 2010674136",0
"Cox, Brennan, 2017679746",0
"Crowden, Mitch, 2018676565",0
"Henry, Liam, 2020729143",0
"Logue, Griffin, 2017763635",0
"Schultz, Lachie, 2019836646",0
"Treacy, Josh, 2021849113",0
"Tucker, Darcy, 2016849998",0
"Walters, Michael, 2009873507",0
"Watson, Tobe, 2020879167",0
"Wilson, Nathan, 2012871731",0
"Blakey, Nick, 2019663435",0
"Clarke, Ryan, 2016673046",0
"Cunningham, Harry, 2012674793",0
"Fox, Robbie, 2017701570",0
"McCartin, Tom, 2018776402",0
"Rampe, Dane, 2013825860",0
"Rowbottom, James, 2019826450",0
"Stephens, Dylan, 2020837863",0
"Wicks, Sam, 2020879009",0
"Ash, Lachie, 2020651147",0
"Buckley, Jack, 2020666559",0
"Buntine, Matt, 2012664999",0
"Flynn, Matt, 2021706816",0
"Haynes, Nick, 2012726893",0
"Hill, Bobby, 2019723393",0
"Himmelberg, Harry, 2016723009",0
"Idun, Connor, 2019735732",0
"Lloyd, Daniel, 2017765543",0
"Mumford, Shane, 2008773839",0
"OHalloran, Xavier, 2020795814",0
"Reid, Sam, 2008827999",0
"Riccardi, Jake, 2020827511",0
"Sproule, Zach, 2019834419",0
"Taylor, Sam, 2018845175",0
"Brander, Jarrod, 2018661796",0
"Cole, Tom, 2016676071",0
"Edwards, Harry, 2020698920",0
"Hurn, Shannon, 2006724485",0
"Jones, Jamaine, 2018744900",0
"Nelson, Jackson, 2015788609",0
"Petruccelle, Jack, 2018804230",0
"Rotham, Josh, 2019824307",0
"Sheppard, Brad, 2010837155",0
"Waterman, Jake, 2018874605",0
"Williams, Bailey, 2020879607",0
"Brown, Callum, 2017661572",0
"Brown, Tyler, 2020663480",0
"Cameron, Darcy, 2018675233",0
"Daicos, Josh, 2017688313",0
"Hoskin-Elliott, Will, 2012724284",0
"Maynard, Brayden, 2015777207",0
"Mayne, Chris, 2008777521",0
"McCreery, Beau, 2021778355",0
"Mihocek, Brody, 2018778422",0
"Murphy, Nathan, 2018776267",0
"Noble, John, 2019789839",0
"Poulter, Caleb, 2021805676",0
"Quaynor, Isaac, 2019813547",0
"Roughead, Jordan, 2010821389",0
"Sidebottom, Steele, 2009833817",0
"Thomas, Josh, 2013847724",0
"Wilson, Tom, 2021878393",0
"Bergman, Miles, 2021663355",0
"Bonner, Riley, 2016662686",0
"Burton, Ryan, 2016669115",0
"Byrne-Jones, Darcy, 2016664470",0
"Drew, Willem, 2019689522",0
"Farrell, Kane, 2018705908",0
"Hartlett, Hamish, 2009724069",0
"Jonas, Tom, 2011746753",0
"Jones, Lachie, 2021744647",0
"Ladhams, Peter, 2019763449",0
"Marshall, Todd, 2017771202",0
"McKenzie, Trent, 2011773387",0
"Motlop, Steven, 2010777559",0
"Powell-Pepper, Sam, 2017804970",0
"Cox, Nik, 2021674111",0
"Francis, Aaron, 2016701470",0
"Guelfi, Matt, 2018714830",0
"Ham, Brayden, 2019727673",0
"Heppell, Dyson, 2011723674",0
"Hind, Nick, 2019726583",0
"Jones, Harry, 2021741376",0
"Langford, Kyle, 2015769089",0
"Laverde, Jayden, 2015764273",0
"Phillips, Andrew, 2012806200",0
"Snelling, Will, 2016835941",0
"Stewart, James, 2013833750",0
"Zaharakis, David, 2009901367",0
"Atley, Shaun, 2011656008",0
"Campbell, Tom, 2012678444",0
"Dumont, Trent, 2015686612",0
"Garner, Taylor, 2013717746",0
"Lazzaro, Charlie, 2021768073",0
"Mahony, Jack, 2020773938",0
"McKay, Ben, 2017775377",0
"Menadue, Connor, 2015771592",0
"Powell, Tom, 2021805517",0
"Scott, Bailey, 2019839062",0
"Taylor, Curtis, 2019848070",0
"Turner, Kayne, 2014841299",0
"Walker, Josh, 2012874022",0
"Young, Lachie, 2019898589",0
"Casboult, Levi, 2012674522",0
